City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,19.08,72,88,9.97,AU,1717172415
1,port-aux-francais,-49.35,70.2167,6.39,95,100,15.51,TF,1717172412
2,souillac,-20.5167,57.5167,24.21,69,40,5.14,MU,1717172510
3,cabedelo,-6.9811,-34.8339,29.37,72,58,6.77,BR,1717172510
4,vorgashor,67.5833,63.95,-2.33,87,100,5.54,RU,1717172510
5,pedra branca,-5.4542,-39.7172,27.95,64,61,3.44,BR,1717172510
6,puerto natales,-51.7236,-72.4875,0.25,100,100,1.03,CL,1717172409
7,san felipe,10.3399,-68.7425,31.26,52,79,3.58,VE,1717172511
8,west island,-12.1568,96.8225,26.99,94,40,6.17,CC,1717172471
9,arraial do cabo,-22.9661,-42.0278,23.98,73,40,4.12,BR,1717172511
10,ribeira grande,38.5167,-28.7,18.22,88,75,7.15,PT,1717172413
11,hithadhoo,-0.6,73.0833,29.25,80,63,7.8,MV,1717172511
12,giado,31.9582,12.0203,37.84,8,44,2.35,LY,1717172511
13,porto novo,6.4965,2.6036,28.9,71,89,4.24,BJ,1717172511
14,puerto ayora,-0.7393,-90.3518,24.98,97,89,2.24,EC,1717172511
15,adamstown,-25.066,-130.1015,20.16,65,1,6.42,PN,1717172411
16,codrington,-38.2667,141.9667,8.1,88,42,2.73,AU,1717172512
17,san patricio,28.017,-97.5169,27.4,60,83,5.7,US,1717172512
18,yellowknife,62.456,-114.3525,4.67,100,100,9.26,CA,1717172512
19,loudi,27.7344,111.9944,21.2,90,70,1.13,CN,1717172512
20,sarangani,5.4033,125.4636,29.31,78,37,10.05,PH,1717172512
21,bredasdorp,-34.5322,20.0403,11.89,77,100,2.96,ZA,1717172411
22,waitangi,-43.9535,-176.5597,11.57,91,25,4.02,NZ,1717172413
23,stanley,54.868,-1.6985,14.88,69,20,4.63,GB,1717172284
24,tiksi,71.6872,128.8694,5.08,87,100,6.31,RU,1717172410
25,bethel,41.3712,-73.414,22.97,45,0,0.45,US,1717171998
26,aasiaat,68.7098,-52.8699,-1.44,65,22,5.91,GL,1717172513
27,iqaluit,63.7506,-68.5145,0.85,59,75,5.14,CA,1717172513
28,ancud,-41.8697,-73.8203,8.23,91,100,2.98,CL,1717172513
29,usogorsk,63.4106,48.6872,17.04,32,47,3.47,RU,1717172514
30,mudgee,-32.5943,149.5871,12.57,98,100,1.18,AU,1717172514
31,mangrol,21.1167,70.1167,30.17,74,50,6.03,IN,1717172514
32,thompson,55.7435,-97.8558,11.09,93,100,6.69,CA,1717172514
33,tura,25.5198,90.2201,24.85,96,13,2.18,IN,1717172514
34,olonkinbyen,70.9221,-8.7187,1.28,95,39,9.27,SJ,1717172409
35,changji,44.0167,87.3167,22.44,33,0,1.0,CN,1717172514
36,akureyri,65.6835,-18.0878,11.96,54,75,10.8,IS,1717172515
37,changzhi,35.2089,111.7386,22.16,36,98,1.15,CN,1717172515
38,puerto leguizamo,-0.1934,-74.7819,26.23,69,87,1.89,CO,1717172515
39,georgetown,5.4112,100.3354,27.75,90,20,2.06,MY,1717172515
40,albany,42.6001,-73.9662,22.6,39,54,1.34,US,1717172058
41,tselinnoye,53.0833,85.6667,3.84,93,41,2.92,RU,1717172515
42,hami,42.8,93.45,26.01,13,100,10.17,CN,1717172515
43,ulsteinvik,62.3432,5.8487,15.5,79,26,3.15,NO,1717172515
44,port elizabeth,-33.918,25.5701,15.16,92,75,3.6,ZA,1717172516
45,grytviken,-54.2811,-36.5092,-5.4,73,26,5.46,GS,1717172413
46,tsiombe,-25.3,45.4833,19.76,77,0,2.89,MG,1717172516
47,palikir - national government center,6.9248,158.1611,25.41,94,100,0.0,FM,1717172313
48,isafjordur,66.0755,-23.124,13.02,21,0,5.14,IS,1717172412
49,toamasina,-18.1667,49.3833,22.0,94,75,3.6,MG,1717172516
50,odienne,9.51,-7.5692,37.84,29,81,2.33,CI,1717172516
51,fallsburg,41.732,-74.6013,21.16,42,24,4.62,US,1717172516
52,kisi,9.0833,3.85,34.02,42,100,4.63,NG,1717172516
53,kulhudhuffushi,6.6221,73.07,28.88,84,89,8.61,MV,1717172517
54,tra mhor,52.1624,-7.1524,19.15,67,40,3.6,IE,1717172517
55,znamenskoye,57.1281,73.8282,8.19,71,99,4.16,RU,1717172347
56,yaren,-0.5472,166.916,28.17,79,17,5.54,NR,1717172517
57,vadso,70.0744,29.7487,12.49,87,75,4.63,NO,1717172517
58,vilyuchinsk,52.9306,158.4028,7.36,87,96,1.16,RU,1717172415
59,utrik,11.2278,169.8474,27.52,81,100,4.72,MH,1717172413
60,kailua-kona,19.6406,-155.9956,23.98,93,100,3.6,US,1717172518
61,byron bay,-28.65,153.6167,18.17,84,100,5.18,AU,1717172518
62,guerrero negro,27.9769,-114.0611,17.31,72,86,6.73,MX,1717172518
63,atafu village,-8.5421,-172.5159,28.94,74,82,3.38,TK,1717172471
64,edinburgh of the seven seas,-37.0676,-12.3116,14.49,72,100,12.02,SH,1717172518
65,egilsstadir,65.2653,-14.3948,10.95,62,75,6.17,IS,1717172518
66,port macquarie,-31.4333,152.9167,16.05,81,100,0.52,AU,1717172518
67,magadan,59.5667,150.8,8.63,75,91,2.1,RU,1717172518
68,eraan,9.0629,117.7016,26.99,87,69,1.82,PH,1717172519
69,bilibino,68.0546,166.4372,0.0,73,99,1.61,RU,1717172470
70,tolanaro,-25.0319,46.9987,23.04,73,0,7.72,MG,1717172519
71,smithers,54.7804,-127.1743,8.18,71,75,3.09,CA,1717172519
72,rosarito,32.3333,-117.0333,17.18,71,26,2.02,MX,1717172519
73,matane,48.8286,-67.522,10.44,60,5,1.84,CA,1717172230
74,ushuaia,-54.8,-68.3,2.79,75,0,2.06,AR,1717172519
75,sao vicente,-23.9631,-46.3919,25.1,57,75,2.57,BR,1717172342
76,sisimiut,66.9395,-53.6735,0.74,64,14,1.5,GL,1717172520
77,ola,59.5833,151.2833,8.97,73,60,0.99,RU,1717172520
78,mugia,43.1041,-9.2179,17.17,72,4,13.64,ES,1717172520
79,hawaiian paradise park,19.5933,-154.9731,21.13,94,100,2.06,US,1717172412
80,nar'yan-mar,67.6713,53.087,1.17,98,33,2.68,RU,1717172520
81,schneeberg,50.6,12.6333,18.32,99,100,3.91,DE,1717172520
82,lata,40.1629,-8.3327,30.6,38,2,4.67,PT,1717172520
83,iskateley,67.6803,53.1512,1.12,98,40,2.68,RU,1717172468
84,narasannapeta,18.4167,84.05,29.77,85,74,3.73,IN,1717172521
85,al wafrah,28.6392,47.9306,39.79,9,0,2.92,KW,1717172521
86,qaqortoq,60.7167,-46.0333,1.88,90,100,1.11,GL,1717172521
87,bykovo,55.6361,38.0803,23.2,73,87,3.41,RU,1717172521
88,magdagachi,53.45,125.8,15.34,47,37,1.37,RU,1717172521
89,kruisfontein,-34.0033,24.7314,13.82,79,100,1.58,ZA,1717172521
90,kisangani,0.5167,25.2,29.08,61,58,0.68,CD,1717172522
91,broome,42.2506,-75.833,20.95,50,20,2.68,US,1717172522
92,college,64.8569,-147.8028,13.43,71,20,2.06,US,1717172409
93,papatowai,-46.5619,169.4708,16.09,60,85,5.91,NZ,1717172410
94,holualoa,19.6228,-155.9522,21.91,93,100,3.6,US,1717172412
95,santiago del estero,-27.7951,-64.2615,19.64,39,95,4.35,AR,1717172091
96,charters towers,-20.1,146.2667,16.88,93,53,2.13,AU,1717172523
97,petropavlovsk-kamchatsky,53.0452,158.6483,6.36,61,75,3.58,RU,1717172523
98,papao,-17.75,-149.55,23.82,71,27,3.32,PF,1717172523
99,ilulissat,69.2167,-51.1,2.01,48,0,2.06,GL,1717172413
100,baikonur,45.6167,63.3167,28.5,14,11,3.49,KZ,1717172523
101,port alfred,-33.5906,26.891,15.66,86,100,1.34,ZA,1717172523
102,shimoda,34.6667,138.95,16.17,90,100,0.47,JP,1717172523
103,sayat,38.7839,63.8803,28.93,10,0,5.34,TM,1717172523
104,sitka,57.0531,-135.33,12.94,54,100,6.69,US,1717172411
105,kangavar,34.5043,47.9653,25.31,22,0,2.58,IR,1717172524
106,ilhabela,-23.7781,-45.3581,21.28,71,0,1.17,BR,1717172524
107,tulun,54.5611,100.5792,11.17,88,53,8.77,RU,1717172524
108,korla,41.7597,86.1469,21.28,36,100,6.63,CN,1717172524
109,malvan,16.0667,73.4667,29.65,85,1,5.92,IN,1717172524
110,cambria,35.5641,-121.0808,24.2,73,25,2.13,US,1717172525
111,invercargill,-46.4,168.35,15.57,75,84,4.92,NZ,1717172473
112,bamboo flat,11.7,92.7167,26.05,89,75,3.09,IN,1717172525
113,longyearbyen,78.2186,15.6401,4.91,81,75,4.12,SJ,1717172525
114,haiku-pauwela,20.9219,-156.3051,22.8,88,40,8.23,US,1717172525
115,hamilton,39.1834,-84.5333,22.83,37,0,4.12,US,1717172096
116,dudinka,69.4058,86.1778,-1.85,92,100,2.68,RU,1717172414
117,colipapa,9.4726,122.5616,28.79,78,59,1.86,PH,1717172526
118,murzuq,25.9155,13.9184,39.26,9,0,0.85,LY,1717172526
119,punta arenas,-53.15,-70.9167,3.06,93,75,1.54,CL,1717172240
120,khanty-mansiysk,61.0042,69.0019,6.17,61,20,5.81,RU,1717172526
121,la passe,45.5549,-0.8967,21.13,76,35,5.91,FR,1717172526
122,uturoa,-16.7333,-151.4333,27.35,74,68,6.45,PF,1717172526
123,falam,22.9167,93.6833,21.29,87,34,1.5,MM,1717172527
124,nova sintra,14.8667,-24.7167,22.99,82,6,9.69,CV,1717172527
125,kodiak,57.79,-152.4072,6.73,93,100,7.2,US,1717172527
126,markala,13.7021,-6.0659,42.84,9,87,1.51,ML,1717172527
127,lebu,-37.6167,-73.65,11.91,86,100,5.99,CL,1717172474
128,blackmans bay,-43.0167,147.3167,8.74,73,67,2.9,AU,1717172527
129,avarua,-21.2078,-159.775,24.03,69,20,3.09,CK,1717172470
130,guelmim,28.987,-10.0574,22.19,73,75,7.2,MA,1717172528
131,vilhena,-12.7406,-60.1458,27.12,57,0,4.63,BR,1717172528
132,fredericton,45.9454,-66.6656,17.68,44,0,7.2,CA,1717172527
133,nikol'sk,53.7189,46.0712,18.85,70,86,3.2,RU,1717172528
134,spassk-ryazanskiy,54.4072,40.3806,25.79,77,45,3.34,RU,1717172528
135,prado,-17.3411,-39.2208,26.73,59,94,6.74,BR,1717172528
136,hillsborough,37.5741,-122.3794,26.27,74,0,3.6,US,1717172529
137,margate,51.3813,1.3862,14.06,86,15,6.26,GB,1717172288
138,minas de marcona,-15.2119,-75.1103,18.46,48,28,4.79,PE,1717172529
139,remire-montjoly,4.9167,-52.2667,32.02,74,75,4.63,GF,1717172529
140,coquimbo,-29.9533,-71.3436,12.85,87,100,3.09,CL,1717172354
141,puerto deseado,-47.7503,-65.8938,9.02,84,100,8.46,AR,1717172529
142,howrah,22.5892,88.3103,27.0,94,40,0.0,IN,1717172529
143,keflavik,64.0049,-22.5624,9.24,93,100,9.77,IS,1717172530
144,urangan,-25.3,152.9,19.0,91,100,2.68,AU,1717172530
145,ravensburg,47.7833,9.6167,11.72,99,100,3.6,DE,1717172530
146,mata-utu,-13.2816,-176.1745,27.6,78,96,13.57,WF,1717172530
147,utiel,39.5667,-1.2,25.24,40,99,6.96,ES,1717172530
148,zhanaozen,43.3,52.8,31.25,10,27,6.42,KZ,1717172530
149,anadyr,64.75,177.4833,5.28,56,0,6.0,RU,1717172531
150,milton,34.1322,-84.3007,26.63,59,94,4.68,US,1717172453
151,machilipatnam,16.1667,81.1333,33.33,74,51,2.85,IN,1717172531
152,constantia,44.1833,28.65,22.61,73,25,6.6,RO,1717172369
153,udachny,66.4167,112.4,9.69,35,69,2.35,RU,1717172531
154,topolobampo,25.6,-109.05,25.95,73,0,5.66,MX,1717172531
155,gannan,47.9147,123.5031,15.79,45,100,3.06,CN,1717172531
156,kaya,13.0917,-1.0844,38.24,27,99,4.07,BF,1717172532
157,nouadhibou,20.931,-17.0347,23.99,60,0,8.23,MR,1717172532
158,fuqing,25.725,119.3794,23.87,99,100,1.99,CN,1717172532
159,kiunga,-6.1219,141.2906,23.89,99,96,0.9,PG,1717172474
160,baglung,28.2719,83.5898,24.13,44,48,2.29,NP,1717172532
161,carnarvon,-24.8667,113.6333,19.98,50,0,3.18,AU,1717172532
162,sabya,17.1495,42.6254,32.79,65,91,3.63,SA,1717172533
163,labrador city,52.9463,-66.9114,10.95,50,20,4.63,CA,1717172533
164,queenstown,-31.8976,26.8753,11.3,74,100,3.92,ZA,1717172533
165,ebolowa,2.9,11.15,24.18,96,90,1.01,CM,1717172533
166,antalya,36.7741,30.7178,24.33,78,40,3.6,TR,1717172172
167,tanjung pandan,-2.75,107.65,27.1,85,100,2.65,ID,1717172533
168,revda,56.801,59.9303,10.86,63,21,1.52,RU,1717172554
169,monrovia,6.3005,-10.7969,28.87,74,100,3.97,LR,1717172555
170,afaahiti,-17.75,-149.2833,22.93,73,71,2.98,PF,1717172555
171,ketchikan,55.3422,-131.6461,11.26,82,100,5.14,US,1717172555
172,klyuchi,52.2667,79.1667,9.36,56,69,2.14,RU,1717172555
173,bac lieu,9.285,105.7244,28.64,78,100,2.17,VN,1717172346
174,new norfolk,-42.7826,147.0587,9.4,80,54,1.98,AU,1717172411
175,fuyang,32.9,115.8167,23.4,58,98,0.54,CN,1717172555
176,tomohon,1.3346,124.8392,19.52,87,100,1.25,ID,1717172555
177,savelugu,9.6244,-0.8253,37.95,31,100,1.68,GH,1717172556
178,la ronge,55.1001,-105.2842,8.14,71,100,9.77,CA,1717172556
179,whitehorse,60.7161,-135.0538,7.83,48,40,6.71,CA,1717172371
180,ar ruseris,11.8659,34.3869,36.96,28,23,2.13,SD,1717172556
181,lompoc,34.6391,-120.4579,16.62,81,100,0.0,US,1717172412
182,reggane,26.7158,0.1714,42.92,5,1,3.7,DZ,1717172556
183,dunedin,-45.8742,170.5036,14.33,60,100,2.24,NZ,1717172556
184,cayeli,41.0923,40.7292,19.72,92,85,0.83,TR,1717172557
185,ylitornio,66.3089,23.6773,23.07,42,100,3.32,FI,1717172557
186,port lincoln,-34.7333,135.8667,12.06,65,41,1.72,AU,1717172159
187,isangel,-19.55,169.2667,22.63,82,36,8.07,VU,1717172557
188,mount pearl,47.5166,-52.7813,14.29,94,100,2.57,CA,1717172557
189,salalah,17.0151,54.0924,31.05,79,40,3.6,OM,1717172557
190,ak-suu,42.4995,78.527,10.52,60,46,2.19,KG,1717172558
191,susuman,62.7833,148.1667,1.66,57,4,4.92,RU,1717172558
192,general acha,-37.377,-64.6043,14.32,54,79,8.15,AR,1717172558
193,ta`u,-14.2336,-169.5144,27.94,75,100,12.79,AS,1717172558
194,ust-nera,64.5667,143.2,6.17,48,0,2.85,RU,1717172558
195,kapuskasing,49.4169,-82.4331,24.0,33,20,6.17,CA,1717172558
196,port mathurin,-19.6833,63.4167,24.56,67,86,12.08,MU,1717172558
197,praya,14.9215,-23.5087,27.3,54,20,9.77,CV,1717172559
198,lihue,21.9789,-159.3672,23.77,81,75,7.2,US,1717172559
199,korsholm,63.1142,21.6822,24.97,50,0,3.6,FI,1717172559
200,gurupi,-11.7292,-49.0686,34.43,24,0,4.39,BR,1717172554
201,weno,7.4515,151.8468,27.69,82,100,6.07,FM,1717172559
202,bayanhongor,46.7167,100.1167,7.07,55,80,2.16,MN,1717172559
203,cockburn town,21.4612,-71.1419,27.61,85,100,6.39,TC,1717172329
204,acapulco de juarez,16.8634,-99.8901,30.9,66,20,3.09,MX,1717172437
205,kemijarvi,66.7131,27.4306,24.51,42,61,1.66,FI,1717172560
206,toliara,-23.35,43.6667,22.77,67,0,3.34,MG,1717172560
207,san pedro pochutla,15.7333,-96.4667,32.84,46,58,3.04,MX,1717172560
208,praia,14.9215,-23.5087,27.3,54,20,9.77,CV,1717172560
209,hadibu,12.65,54.0333,29.42,76,99,2.63,YE,1717172560
210,mabaruma,8.2,-59.7833,34.07,42,92,3.23,GY,1717172560
211,as sulayyil,20.4607,45.5779,41.14,8,25,2.62,SA,1717172561
212,berezovyy,51.6667,135.7,12.98,47,8,2.16,RU,1717172471
213,sergach,55.5308,45.4661,21.92,67,3,2.61,RU,1717172348
214,amga,60.8953,131.9608,13.31,75,25,1.7,RU,1717172561
215,manicore,-5.8092,-61.3003,32.48,48,67,1.07,BR,1717172561
216,serdar,38.9764,56.2757,31.82,9,0,6.3,TM,1717172561
217,kharkhorin,47.1975,102.8238,9.1,80,100,1.99,MN,1717172561
218,vernon,50.2581,-119.2691,14.78,57,4,0.45,CA,1717171777
219,byndoor,13.8667,74.6333,29.12,87,11,4.45,IN,1717172562
220,harper,4.375,-7.7169,28.15,77,100,4.35,LR,1717172562
221,pisco,-13.7,-76.2167,18.03,77,100,2.57,PE,1717172562
222,zouerate,22.7187,-12.4521,32.43,16,0,5.29,MR,1717172562
223,tazacorte,28.629,-17.9293,22.54,77,40,5.14,ES,1717172562
224,viedma,-40.8135,-62.9967,13.57,61,98,7.72,AR,1717172263
225,bandon,51.7469,-8.7425,19.77,65,30,4.89,IE,1717172562
226,happy valley-goose bay,53.3168,-60.3315,9.17,61,75,4.12,CA,1717172563
227,verdal,63.7933,11.4817,15.02,77,97,1.09,NO,1717172563
228,lucas,41.6501,-83.6666,23.07,31,0,2.57,US,1717172563
229,qamdo,31.1667,97.2333,11.32,54,23,3.14,CN,1717172563
230,mount gambier,-37.8333,140.7667,6.77,92,23,1.1,AU,1717172475
231,sola,-13.8833,167.55,26.6,80,56,7.15,VU,1717172563
232,san josecito,10.0167,-84.1,25.69,66,40,2.57,CR,1717172563
233,hermanus,-34.4187,19.2345,12.67,73,86,1.7,ZA,1717172414
234,bingol,38.8847,40.4939,20.43,53,76,2.58,TR,1717172563
235,luwuk,-0.9516,122.7875,23.54,89,100,0.96,ID,1717172462
236,de aar,-30.6497,24.0123,14.62,45,100,3.38,ZA,1717172564
237,voznesensk,47.5649,31.3308,22.2,59,96,5.33,UA,1717172564
238,kerikeri,-35.2268,173.9474,9.38,95,13,2.01,NZ,1717172564
239,calabazar de sagua,22.6447,-79.8961,33.26,55,40,3.09,CU,1717172564
240,santa elena de uairen,4.6167,-61.1333,24.11,77,57,3.13,VE,1717172527
241,farasan,16.7022,42.1183,29.97,76,80,4.05,SA,1717172564
242,whakatane,-37.9585,176.9854,12.65,95,27,3.58,NZ,1717172564
243,coahuayana de hidalgo,18.7,-103.6583,32.92,33,74,1.96,MX,1717172565
244,at taraf,25.3628,49.725,39.3,15,1,4.57,SA,1717172565
245,uyskoye,54.3775,60.0047,14.78,75,97,1.97,RU,1717172565
246,north bend,43.4065,-124.2243,15.6,67,0,2.57,US,1717172326
247,kralendijk,12.15,-68.2667,31.99,66,40,9.77,BQ,1717172565
248,masuguru,-11.3667,38.4167,25.29,51,10,1.07,TZ,1717172565
249,cascais,38.6979,-9.4215,32.64,39,0,9.26,PT,1717172338
250,talnakh,69.4865,88.3972,-2.11,88,100,9.95,RU,1717172566
251,kerema,-7.9631,145.7785,26.02,92,87,1.31,PG,1717172566
252,fale old settlement,-9.3852,-171.2468,28.71,75,84,4.29,TK,1717172409
253,sabzevar,36.2126,57.6819,30.81,13,0,7.23,IR,1717172566
254,jamestown,42.097,-79.2353,19.14,45,0,2.06,US,1717172463
255,p'ot'i,42.1462,41.672,19.53,92,94,3.49,GE,1717172566
256,andergrove,-21.0833,149.1833,21.47,91,60,2.07,AU,1717172566
257,lubang,13.8584,120.124,30.23,76,97,5.74,PH,1717172566
258,flagstaff,35.1981,-111.6513,23.64,21,0,0.89,US,1717172566
259,lithgow,-33.4833,150.15,8.69,97,100,1.67,AU,1717172567
260,enewetak,11.3474,162.3373,27.64,80,100,4.22,MH,1717172473
261,kenai,60.5544,-151.2583,8.97,76,0,4.63,US,1717172567
262,morant bay,17.8815,-76.4093,30.79,69,99,5.06,JM,1717172567
263,grabouw,-34.1515,19.0151,12.49,83,90,0.2,ZA,1717172347
264,kidal,18.4411,1.4078,42.65,6,2,5.03,ML,1717172567
265,celestun,20.8667,-90.4,33.39,51,1,3.25,MX,1717172567
266,raisinghnagar,29.5358,73.4492,38.54,11,0,4.74,IN,1717172567
267,emerald,-23.5333,148.1667,17.97,82,97,4.43,AU,1717172568
268,choibalsan,48.0667,114.5,11.94,47,15,1.36,MN,1717172568
269,xinqing,48.2333,129.5,10.13,76,100,1.41,CN,1717172568
270,eyl,7.9803,49.8164,27.74,73,79,9.92,SO,1717172152
271,yerofey pavlovich,53.9667,121.9667,14.12,52,55,2.44,RU,1717172568
272,puerto baquerizo moreno,-0.9,-89.6,24.55,73,75,6.17,EC,1717172568
273,lazaro cardenas,17.9583,-102.2,30.74,55,8,1.8,MX,1717172447
274,fort bragg,35.139,-79.006,24.39,32,0,6.17,US,1717172568
275,orita eruwa,7.55,3.4333,27.74,80,100,2.71,NG,1717172569
276,charleston,32.7766,-79.9309,28.34,44,0,4.12,US,1717172352
277,belozersk,60.0326,37.7957,18.32,70,55,1.79,RU,1717172569
278,turkmenbasy,40.0222,52.9552,31.43,13,0,1.03,TM,1717172569
279,wailua homesteads,22.0669,-159.378,23.44,86,75,7.2,US,1717172473
280,crucecita,-28.95,-58.9833,19.99,56,28,3.83,AR,1717172569
281,namibe,-15.1961,12.1522,21.02,70,6,5.35,AO,1717172569
